TF_ID	Gene_ID	Family
Glyma.01G167900.2.p	Glyma.01G167900	NAC
Glyma.01G169400.1.p	Glyma.01G169400	GATA
Glyma.01G169400.2.p	Glyma.01G169400	GATA
Glyma.01G170700.1.p	Glyma.01G170700	SRS
Glyma.01G170700.2.p	Glyma.01G170700	SRS
Glyma.01G174200.1.p	Glyma.01G174200	ZF-HD
Glyma.01G177200.1.p	Glyma.01G177200	GRAS
Glyma.01G177400.1.p	Glyma.01G177400	bZIP
Glyma.01G177400.2.p	Glyma.01G177400	bZIP
Glyma.01G177400.3.p	Glyma.01G177400	bZIP
Glyma.01G177400.4.p	Glyma.01G177400	bZIP
Glyma.01G177400.5.p	Glyma.01G177400	bZIP
Glyma.01G177400.6.p	Glyma.01G177400	bZIP
Glyma.01G178000.1.p	Glyma.01G178000	BES1
Glyma.01G183000.1.p	Glyma.01G183000	Dof
Glyma.01G183900.1.p	Glyma.01G183900	LBD
Glyma.01G183900.2.p	Glyma.01G183900	LBD
Glyma.01G183900.3.p	Glyma.01G183900	LBD
Glyma.01G183900.4.p	Glyma.01G183900	LBD
Glyma.01G185800.1.p	Glyma.01G185800	HSF
Glyma.01G186700.1.p	Glyma.01G186700	bHLH
Glyma.01G187600.1.p	Glyma.01G187600	bHLH
Glyma.01G189100.1.p	Glyma.01G189100	WRKY
Glyma.01G189100.2.p	Glyma.01G189100	WRKY
Glyma.01G192600.1.p	Glyma.01G192600	LBD
Glyma.01G194200.1.p	Glyma.01G194200	GRAS
Glyma.01G195800.1.p	Glyma.01G195800	bZIP
Glyma.01G197900.1.p	Glyma.01G197900	bHLH
Glyma.01G197900.2.p	Glyma.01G197900	bHLH
Glyma.01G198000.1.p	Glyma.01G198000	bHLH
Glyma.01G198100.1.p	Glyma.01G198100	bHLH
Glyma.01G198100.2.p	Glyma.01G198100	bHLH
Glyma.01G202900.1.p	Glyma.01G202900	FAR1
Glyma.01G205100.1.p	Glyma.01G205100	GATA
Glyma.01G217400.1.p	Glyma.01G217400	HSF
Glyma.01G217400.2.p	Glyma.01G217400	HSF
Glyma.01G217400.3.p	Glyma.01G217400	HSF
Glyma.01G217400.4.p	Glyma.01G217400	HSF
Glyma.01G222300.1.p	Glyma.01G222300	WRKY
Glyma.01G224800.1.p	Glyma.01G224800	WRKY
Glyma.01G226600.1.p	Glyma.01G226600	GRAS
Glyma.01G228100.1.p	Glyma.01G228100	E2F/DP
Glyma.01G233000.1.p	Glyma.01G233000	HSF
Glyma.01G236300.1.p	Glyma.01G236300	CPP
Glyma.01G236300.2.p	Glyma.01G236300	CPP
Glyma.01G236300.3.p	Glyma.01G236300	CPP
Glyma.02G000800.1.p	Glyma.02G000800	bHLH
Glyma.02G007000.1.p	Glyma.02G007000	bHLH
Glyma.02G007500.1.p	Glyma.02G007500	WRKY
Glyma.02G007500.2.p	Glyma.02G007500	WRKY
Glyma.02G008600.1.p	Glyma.02G008600	SBP
Glyma.02G010900.1.p	Glyma.02G010900	WRKY
Glyma.02G012000.1.p	Glyma.02G012000	GRAS
Glyma.02G012700.1.p	Glyma.02G012700	bZIP
Glyma.02G018900.1.p	Glyma.02G018900	bHLH
Glyma.02G019900.1.p	Glyma.02G019900	Whirly
Glyma.02G020300.1.p	Glyma.02G020300	WRKY
Glyma.02G020300.2.p	Glyma.02G020300	WRKY
Glyma.02G020300.3.p	Glyma.02G020300	WRKY
Glyma.02G020400.1.p	Glyma.02G020400	Whirly
Glyma.02G020400.2.p	Glyma.02G020400	Whirly
Glyma.02G020400.3.p	Glyma.02G020400	Whirly
Glyma.02G020400.4.p	Glyma.02G020400	Whirly
Glyma.02G020400.5.p	Glyma.02G020400	Whirly
Glyma.02G025400.1.p	Glyma.02G025400	bHLH
Glyma.02G025500.1.p	Glyma.02G025500	bHLH
Glyma.02G025500.2.p	Glyma.02G025500	bHLH
Glyma.02G040100.1.p	Glyma.02G040100	ZF-HD
Glyma.02G041000.1.p	Glyma.02G041000	bHLH
Glyma.02G045500.1.p	Glyma.02G045500	bZIP
Glyma.02G050100.1.p	Glyma.02G050100	NAC
Glyma.02G051100.1.p	Glyma.02G051100	GATA
Glyma.02G051900.1.p	Glyma.02G051900	SRS
Glyma.02G051900.2.p	Glyma.02G051900	SRS
Glyma.02G051900.3.p	Glyma.02G051900	SRS
Glyma.02G051900.4.p	Glyma.02G051900	SRS
Glyma.02G051900.5.p	Glyma.02G051900	SRS
Glyma.02G051900.6.p	Glyma.02G051900	SRS
Glyma.02G053100.1.p	Glyma.02G053100	bHLH
Glyma.02G053100.2.p	Glyma.02G053100	bHLH
Glyma.02G053100.3.p	Glyma.02G053100	bHLH
Glyma.02G056100.1.p	Glyma.02G056100	ZF-HD
Glyma.02G056600.1.p	Glyma.02G056600	GATA
Glyma.02G058700.1.p	Glyma.02G058700	GRAS
Glyma.02G058800.1.p	Glyma.02G058800	bZIP
Glyma.02G058800.2.p	Glyma.02G058800	bZIP
Glyma.02G058800.3.p	Glyma.02G058800	bZIP
Glyma.02G058800.4.p	Glyma.02G058800	bZIP
Glyma.02G062700.1.p	Glyma.02G062700	Dof
Glyma.02G070000.1.p	Glyma.02G070000	NAC
Glyma.02G070600.1.p	Glyma.02G070600	NAC
Glyma.02G071500.1.p	Glyma.02G071500	GATA
Glyma.02G071500.2.p	Glyma.02G071500	GATA
Glyma.02G071500.3.p	Glyma.02G071500	GATA
Glyma.02G073900.1.p	Glyma.02G073900	GATA
Glyma.02G073900.2.p	Glyma.02G073900	GATA
Glyma.02G073900.3.p	Glyma.02G073900	GATA
Glyma.02G073900.4.p	Glyma.02G073900	GATA
Glyma.02G074800.1.p	Glyma.02G074800	GRAS
Glyma.02G082000.1.p	Glyma.02G082000	Trihelix
Glyma.02G082100.1.p	Glyma.02G082100	Trihelix
Glyma.02G082100.2.p	Glyma.02G082100	Trihelix
Glyma.02G082800.1.p	Glyma.02G082800	bZIP
Glyma.02G087200.1.p	Glyma.02G087200	NF-YB
Glyma.02G089600.1.p	Glyma.02G089600	NF-YC
Glyma.02G092700.1.p	Glyma.02G092700	Dof
Glyma.02G097900.1.p	Glyma.02G097900	bZIP
Glyma.02G097900.2.p	Glyma.02G097900	bZIP
Glyma.02G100200.1.p	Glyma.02G100200	NAC
Glyma.02G100700.1.p	Glyma.02G100700	bHLH
Glyma.02G100700.2.p	Glyma.02G100700	bHLH
Glyma.02G103100.1.p	Glyma.02G103100	bHLH
Glyma.02G103200.1.p	Glyma.02G103200	bHLH
Glyma.02G105900.1.p	Glyma.02G105900	TCP
Glyma.02G105900.2.p	Glyma.02G105900	TCP
Glyma.02G107000.1.p	Glyma.02G107000	NAC
Glyma.02G107000.2.p	Glyma.02G107000	NAC
Glyma.02G107300.1.p	Glyma.02G107300	ZF-HD
Glyma.02G108600.1.p	Glyma.02G108600	Dof
Glyma.02G109800.1.p	Glyma.02G109800	NAC
Glyma.02G112100.1.p	Glyma.02G112100	WRKY
Glyma.02G115200.1.p	Glyma.02G115200	WRKY
Glyma.02G121100.1.p	Glyma.02G121100	YABBY
Glyma.02G121300.1.p	Glyma.02G121300	SBP
Glyma.02G121300.2.p	Glyma.02G121300	SBP
Glyma.02G121300.3.p	Glyma.02G121300	SBP
Glyma.02G121300.4.p	Glyma.02G121300	SBP
Glyma.02G123400.1.p	Glyma.02G123400	bHLH
Glyma.02G123400.2.p	Glyma.02G123400	bHLH
Glyma.02G123400.3.p	Glyma.02G123400	bHLH
Glyma.02G123400.4.p	Glyma.02G123400	bHLH
Glyma.02G125200.1.p	Glyma.02G125200	bHLH
Glyma.02G125200.2.p	Glyma.02G125200	bHLH
Glyma.02G125200.3.p	Glyma.02G125200	bHLH
Glyma.02G125200.4.p	Glyma.02G125200	bHLH
Glyma.02G125200.5.p	Glyma.02G125200	bHLH
Glyma.02G126100.1.p	Glyma.02G126100	bZIP
Glyma.02G129100.1.p	Glyma.02G129100	bHLH
Glyma.02G131700.1.p	Glyma.02G131700	bZIP
Glyma.02G137400.1.p	Glyma.02G137400	bHLH
Glyma.02G137400.2.p	Glyma.02G137400	bHLH
Glyma.02G137400.3.p	Glyma.02G137400	bHLH
Glyma.02G139700.1.p	Glyma.02G139700	bHLH
Glyma.02G141000.1.p	Glyma.02G141000	WRKY
Glyma.02G141000.3.p	Glyma.02G141000	WRKY
Glyma.02G141000.4.p	Glyma.02G141000	WRKY
Glyma.02G141000.5.p	Glyma.02G141000	WRKY
Glyma.02G141000.6.p	Glyma.02G141000	WRKY
Glyma.02G141000.7.p	Glyma.02G141000	WRKY
Glyma.02G142800.1.p	Glyma.02G142800	bHLH
Glyma.02G142800.2.p	Glyma.02G142800	bHLH
Glyma.02G147800.1.p	Glyma.02G147800	bHLH
Glyma.02G148500.1.p	Glyma.02G148500	bHLH
Glyma.02G148500.2.p	Glyma.02G148500	bHLH
Glyma.02G148500.3.p	Glyma.02G148500	bHLH
Glyma.02G154000.1.p	Glyma.02G154000	NF-YB
Glyma.02G160200.1.p	Glyma.02G160200	bHLH
Glyma.02G161100.1.p	Glyma.02G161100	bZIP
Glyma.02G166400.1.p	Glyma.02G166400	LBD
Glyma.02G174800.1.p	Glyma.02G174800	bHLH
Glyma.02G175700.1.p	Glyma.02G175700	bHLH
Glyma.02G176800.1.p	Glyma.02G176800	bZIP
Glyma.02G176800.2.p	Glyma.02G176800	bZIP
Glyma.02G176800.3.p	Glyma.02G176800	bZIP
Glyma.02G176800.4.p	Glyma.02G176800	bZIP
Glyma.02G176800.5.p	Glyma.02G176800	bZIP
Glyma.02G177500.1.p	Glyma.02G177500	SBP
Glyma.02G180800.1.p	Glyma.02G180800	ZF-HD
Glyma.02G180900.1.p	Glyma.02G180900	ZF-HD
Glyma.02G195000.10.p	Glyma.02G195000	NF-YA
Glyma.02G195000.1.p	Glyma.02G195000	NF-YA
Glyma.02G195000.2.p	Glyma.02G195000	NF-YA
Glyma.02G195000.3.p	Glyma.02G195000	NF-YA
Glyma.02G195000.4.p	Glyma.02G195000	NF-YA
Glyma.02G195000.5.p	Glyma.02G195000	NF-YA
Glyma.02G195000.6.p	Glyma.02G195000	NF-YA
Glyma.02G195000.7.p	Glyma.02G195000	NF-YA
Glyma.02G195000.8.p	Glyma.02G195000	NF-YA
Glyma.02G195000.9.p	Glyma.02G195000	NF-YA
Glyma.02G195700.1.p	Glyma.02G195700	Dof
Glyma.02G198700.1.p	Glyma.02G198700	E2F/DP
Glyma.02G202600.1.p	Glyma.02G202600	bHLH
Glyma.02G203800.1.p	Glyma.02G203800	WRKY
Glyma.02G203800.2.p	Glyma.02G203800	WRKY
Glyma.02G210500.1.p	Glyma.02G210500	bHLH
Glyma.02G211900.1.p	Glyma.02G211900	ZF-HD
Glyma.02G211900.2.p	Glyma.02G211900	ZF-HD
Glyma.02G211900.3.p	Glyma.02G211900	ZF-HD
Glyma.02G213800.1.p	Glyma.02G213800	bHLH
Glyma.02G215600.1.p	Glyma.02G215600	GATA
Glyma.02G217800.1.p	Glyma.02G217800	bHLH
Glyma.02G222300.1.p	Glyma.02G222300	NAC
Glyma.02G232600.1.p	Glyma.02G232600	WRKY
Glyma.02G234600.1.p	Glyma.02G234600	LBD
Glyma.02G234600.2.p	Glyma.02G234600	LBD
Glyma.02G236200.1.p	Glyma.02G236200	bZIP
Glyma.02G240500.1.p	Glyma.02G240500	NAC
Glyma.02G246400.1.p	Glyma.02G246400	bHLH
Glyma.02G249700.1.p	Glyma.02G249700	LBD
Glyma.02G252400.1.p	Glyma.02G252400	bHLH
Glyma.02G258300.1.p	Glyma.02G258300	bHLH
Glyma.02G262400.1.p	Glyma.02G262400	LBD
Glyma.02G264500.1.p	Glyma.02G264500	LBD
Glyma.02G264500.2.p	Glyma.02G264500	LBD
Glyma.02G273500.1.p	Glyma.02G273500	FAR1
Glyma.02G273500.2.p	Glyma.02G273500	FAR1
Glyma.02G274600.1.p	Glyma.02G274600	EIL
Glyma.02G277000.1.p	Glyma.02G277000	NF-YC
Glyma.02G277000.2.p	Glyma.02G277000	NF-YC
Glyma.02G278400.1.p	Glyma.02G278400	HSF
Glyma.02G280000.1.p	Glyma.02G280000	SRS
Glyma.02G282100.1.p	Glyma.02G282100	bHLH
Glyma.02G282100.2.p	Glyma.02G282100	bHLH
Glyma.02G284300.1.p	Glyma.02G284300	NAC
Glyma.02G284300.2.p	Glyma.02G284300	NAC
Glyma.02G285900.1.p	Glyma.02G285900	WRKY
Glyma.02G292000.1.p	Glyma.02G292000	LBD
Glyma.02G293400.1.p	Glyma.02G293400	WRKY
Glyma.02G293400.2.p	Glyma.02G293400	WRKY
Glyma.02G297400.1.p	Glyma.02G297400	WRKY
Glyma.02G297400.2.p	Glyma.02G297400	WRKY
Glyma.02G297700.1.p	Glyma.02G297700	GRAS
Glyma.02G300200.1.p	Glyma.02G300200	NF-YB
Glyma.02G303800.1.p	Glyma.02G303800	NF-YA
Glyma.02G303800.2.p	Glyma.02G303800	NF-YA
Glyma.02G303800.3.p	Glyma.02G303800	NF-YA
Glyma.02G303800.4.p	Glyma.02G303800	NF-YA
Glyma.02G303800.5.p	Glyma.02G303800	NF-YA
Glyma.02G303800.6.p	Glyma.02G303800	NF-YA
Glyma.02G303800.7.p	Glyma.02G303800	NF-YA
Glyma.02G303800.8.p	Glyma.02G303800	NF-YA
Glyma.02G304600.1.p	Glyma.02G304600	SAP
Glyma.02G306200.1.p	Glyma.02G306200	GRAS
Glyma.02G306200.2.p	Glyma.02G306200	GRAS
Glyma.02G306200.3.p	Glyma.02G306200	GRAS
Glyma.02G306200.4.p	Glyma.02G306200	GRAS
Glyma.02G306300.1.p	Glyma.02G306300	WRKY
Glyma.02G306300.2.p	Glyma.02G306300	WRKY
Glyma.02G311000.1.p	Glyma.02G311000	Nin-like
Glyma.03G002300.1.p	Glyma.03G002300	WRKY
Glyma.03G003400.1.p	Glyma.03G003400	bZIP
Glyma.03G003400.2.p	Glyma.03G003400	bZIP
Glyma.03G007900.1.p	Glyma.03G007900	Dof
Glyma.03G018800.1.p	Glyma.03G018800	TCP
Glyma.03G023000.1.p	Glyma.03G023000	LBD
Glyma.03G023100.1.p	Glyma.03G023100	LBD
Glyma.03G029800.1.p	Glyma.03G029800	YABBY
Glyma.03G031800.1.p	Glyma.03G031800	GRAS
Glyma.03G031800.2.p	Glyma.03G031800	GRAS
Glyma.03G034000.1.p	Glyma.03G034000	bHLH
Glyma.03G042700.1.p	Glyma.03G042700	WRKY
Glyma.03G042700.2.p	Glyma.03G042700	WRKY
Glyma.03G042700.3.p	Glyma.03G042700	WRKY
Glyma.03G050800.1.p	Glyma.03G050800	GRAS
Glyma.03G052300.1.p	Glyma.03G052300	bHLH
Glyma.03G056900.1.p	Glyma.03G056900	Trihelix
Glyma.03G056900.2.p	Glyma.03G056900	Trihelix
Glyma.03G056900.3.p	Glyma.03G056900	Trihelix
Glyma.03G065700.1.p	Glyma.03G065700	GRAS
Glyma.03G065700.2.p	Glyma.03G065700	GRAS
Glyma.03G073900.1.p	Glyma.03G073900	bZIP
Glyma.03G080700.1.p	Glyma.03G080700	NF-YB
Glyma.03G081500.1.p	Glyma.03G081500	Trihelix
Glyma.03G081500.2.p	Glyma.03G081500	Trihelix
Glyma.03G081500.3.p	Glyma.03G081500	Trihelix
Glyma.03G081500.4.p	Glyma.03G081500	Trihelix
Glyma.03G081700.1.p	Glyma.03G081700	bZIP
Glyma.03G081700.2.p	Glyma.03G081700	bZIP
Glyma.03G086800.1.p	Glyma.03G086800	bHLH
Glyma.03G091500.1.p	Glyma.03G091500	FAR1
Glyma.03G091500.2.p	Glyma.03G091500	FAR1
Glyma.03G091500.3.p	Glyma.03G091500	FAR1
Glyma.03G091500.4.p	Glyma.03G091500	FAR1
Glyma.03G091700.1.p	Glyma.03G091700	NF-YB
Glyma.03G101600.1.p	Glyma.03G101600	bHLH
Glyma.03G105000.1.p	Glyma.03G105000	bHLH
Glyma.03G105000.2.p	Glyma.03G105000	bHLH
Glyma.03G105000.3.p	Glyma.03G105000	bHLH
Glyma.03G105700.1.p	Glyma.03G105700	bHLH
Glyma.03G105700.2.p	Glyma.03G105700	bHLH
Glyma.03G105700.3.p	Glyma.03G105700	bHLH
Glyma.03G105700.4.p	Glyma.03G105700	bHLH
Glyma.03G107400.1.p	Glyma.03G107400	FAR1
Glyma.03G109100.1.p	Glyma.03G109100	WRKY
Glyma.03G117500.1.p	Glyma.03G117500	SBP
Glyma.03G117500.2.p	Glyma.03G117500	SBP
Glyma.03G117500.3.p	Glyma.03G117500	SBP
Glyma.03G117600.1.p	Glyma.03G117600	SBP
Glyma.03G117600.2.p	Glyma.03G117600	SBP
Glyma.03G118100.1.p	Glyma.03G118100	GATA
Glyma.03G123200.1.p	Glyma.03G123200	bZIP
Glyma.03G126100.1.p	Glyma.03G126100	bHLH
Glyma.03G127600.1.p	Glyma.03G127600	bZIP
Glyma.03G127600.2.p	Glyma.03G127600	bZIP
Glyma.03G127600.3.p	Glyma.03G127600	bZIP
Glyma.03G128200.1.p	Glyma.03G128200	bZIP
Glyma.03G130400.1.p	Glyma.03G130400	bHLH
Glyma.03G130600.1.p	Glyma.03G130600	bHLH
Glyma.03G135800.1.p	Glyma.03G135800	HSF
Glyma.03G136800.1.p	Glyma.03G136800	FAR1
Glyma.03G141200.1.p	Glyma.03G141200	bHLH
Glyma.03G141200.2.p	Glyma.03G141200	bHLH
Glyma.03G141200.3.p	Glyma.03G141200	bHLH
Glyma.03G141200.4.p	Glyma.03G141200	bHLH
Glyma.03G141200.5.p	Glyma.03G141200	bHLH
Glyma.03G141700.1.p	Glyma.03G141700	bHLH
Glyma.03G141700.2.p	Glyma.03G141700	bHLH
Glyma.03G141700.3.p	Glyma.03G141700	bHLH
Glyma.03G142400.1.p	Glyma.03G142400	bZIP
Glyma.03G143100.1.p	Glyma.03G143100	SBP
Glyma.03G152800.1.p	Glyma.03G152800	bHLH
Glyma.03G152800.2.p	Glyma.03G152800	bHLH
Glyma.03G152800.3.p	Glyma.03G152800	bHLH
Glyma.03G157300.1.p	Glyma.03G157300	HSF
Glyma.03G157300.2.p	Glyma.03G157300	HSF
Glyma.03G158500.1.p	Glyma.03G158500	bHLH
Glyma.03G159700.1.p	Glyma.03G159700	WRKY
Glyma.03G159700.2.p	Glyma.03G159700	WRKY
Glyma.03G161400.1.p	Glyma.03G161400	LBD
Glyma.03G161500.1.p	Glyma.03G161500	LBD
Glyma.03G161800.1.p	Glyma.03G161800	bHLH
Glyma.03G161800.2.p	Glyma.03G161800	bHLH
Glyma.03G161800.3.p	Glyma.03G161800	bHLH
Glyma.03G161800.4.p	Glyma.03G161800	bHLH
Glyma.03G161800.5.p	Glyma.03G161800	bHLH
Glyma.03G161800.6.p	Glyma.03G161800	bHLH
Glyma.03G161800.7.p	Glyma.03G161800	bHLH
Glyma.03G164200.1.p	Glyma.03G164200	NAC
Glyma.03G170300.1.p	Glyma.03G170300	bHLH
Glyma.03G170300.2.p	Glyma.03G170300	bHLH
Glyma.03G170300.3.p	Glyma.03G170300	bHLH
Glyma.03G170300.4.p	Glyma.03G170300	bHLH
Glyma.03G176600.1.p	Glyma.03G176600	WRKY
Glyma.03G176600.2.p	Glyma.03G176600	WRKY
Glyma.03G176600.3.p	Glyma.03G176600	WRKY
Glyma.03G176600.4.p	Glyma.03G176600	WRKY
Glyma.03G176600.5.p	Glyma.03G176600	WRKY
Glyma.03G177700.1.p	Glyma.03G177700	NF-YB
Glyma.03G177700.2.p	Glyma.03G177700	NF-YB
Glyma.03G177700.3.p	Glyma.03G177700	NF-YB
Glyma.03G179000.1.p	Glyma.03G179000	S1Fa-like
Glyma.03G179600.1.p	Glyma.03G179600	NAC
Glyma.03G189600.1.p	Glyma.03G189600	Trihelix
Glyma.03G191100.1.p	Glyma.03G191100	HSF
Glyma.03G191700.1.p	Glyma.03G191700	Trihelix
Glyma.03G193300.1.p	Glyma.03G193300	bZIP
Glyma.03G197900.1.p	Glyma.03G197900	NAC
Glyma.03G203000.1.p	Glyma.03G203000	NF-YA
Glyma.03G203000.2.p	Glyma.03G203000	NF-YA
Glyma.03G203000.3.p	Glyma.03G203000	NF-YA
Glyma.03G219300.1.p	Glyma.03G219300	bZIP
Glyma.03G219300.2.p	Glyma.03G219300	bZIP
Glyma.03G219900.1.p	Glyma.03G219900	GRAS
Glyma.03G220100.1.p	Glyma.03G220100	WRKY
Glyma.03G220800.1.p	Glyma.03G220800	WRKY
Glyma.03G224700.1.p	Glyma.03G224700	WRKY
Glyma.03G224700.2.p	Glyma.03G224700	WRKY
Glyma.03G224700.3.p	Glyma.03G224700	WRKY
Glyma.03G225000.1.p	Glyma.03G225000	bHLH
Glyma.03G227800.1.p	Glyma.03G227800	bHLH
Glyma.03G232900.1.p	Glyma.03G232900	GATA
Glyma.03G239400.1.p	Glyma.03G239400	NF-YC
Glyma.03G239400.2.p	Glyma.03G239400	NF-YC
Glyma.03G240000.1.p	Glyma.03G240000	bHLH
Glyma.03G240000.2.p	Glyma.03G240000	bHLH
Glyma.03G245200.1.p	Glyma.03G245200	GeBP
Glyma.03G246000.1.p	Glyma.03G246000	Trihelix
Glyma.03G246000.2.p	Glyma.03G246000	Trihelix
Glyma.03G247100.1.p	Glyma.03G247100	bZIP
Glyma.03G247100.2.p	Glyma.03G247100	bZIP
Glyma.03G252100.1.p	Glyma.03G252100	Whirly
Glyma.03G255000.1.p	Glyma.03G255000	bZIP
Glyma.03G255000.2.p	Glyma.03G255000	bZIP
Glyma.03G255000.3.p	Glyma.03G255000	bZIP
Glyma.03G255000.4.p	Glyma.03G255000	bZIP
Glyma.03G255000.5.p	Glyma.03G255000	bZIP
Glyma.03G255000.6.p	Glyma.03G255000	bZIP
Glyma.03G255000.7.p	Glyma.03G255000	bZIP
Glyma.03G256700.1.p	Glyma.03G256700	WRKY
Glyma.03G256700.2.p	Glyma.03G256700	WRKY
Glyma.03G258100.1.p	Glyma.03G258100	bHLH
