Description,pvalue,cluster
GO:0008037_cell recognition,0.0248,1
GO:0009646_response to absence of light,0.0254,1
GO:0010208_pollen wall assembly,0.0254,1
GO:1990748_cellular detoxification,0.0254,1
GO:0046620_regulation of organ growth,0.0254,1
GO:0009723_response to ethylene,0.0263,1
GO:0010441_guard cell development,0.0266,1
GO:0010442_guard cell morphogenesis,0.0266,1
GO:0051707_response to other organism,0.0266,1
GO:0031667_response to nutrient levels,0.0269,1
GO:0097237_cellular response to toxic substance,0.027,1
GO:0043207_response to external biotic stimulus,0.0275,1
GO:0071396_cellular response to lipid,0.0275,1
GO:0042538_hyperosmotic salinity response,0.0277,1
GO:0015833_peptide transport,0.0278,1
GO:0015698_inorganic anion transport,0.0284,1
GO:0097306_cellular response to alcohol,0.0285,1
GO:0009875_pollen-pistil interaction,0.0294,1
GO:0009835_fruit ripening,0.0297,1
GO:0031669_cellular response to nutrient levels,0.0304,1
GO:0009636_response to toxic substance,0.0305,1
GO:0045229_external encapsulating structure organization,0.0324,1
GO:0052546_cell wall pectin metabolic process,0.0325,1
GO:0007568_aging,0.0327,1
GO:0042594_response to starvation,0.0329,1
GO:0010232_vascular transport,0.033,1
GO:0010233_phloem transport,0.033,1
GO:0003018_vascular process in circulatory system,0.0342,1
GO:0009620_response to fungus,0.0348,1
GO:0009820_alkaloid metabolic process,0.0354,1
GO:0090615_mitochondrial mRNA processing,0.037,1
GO:0051409_response to nitrosative stress,0.037,1
GO:0007189_adenylate cyclase-activating G protein-coupled receptor signaling pathway,0.037,1
GO:0010035_response to inorganic substance,0.0373,1
GO:0009960_endosperm development,0.0389,1
GO:0010038_response to metal ion,0.0401,1
GO:0006817_phosphate ion transport,0.0421,1
GO:0046244_salicylic acid catabolic process,0.0422,1
GO:0048838_release of seed from dormancy,0.0422,1
GO:0010116_positive regulation of abscisic acid biosynthetic process,0.0422,1
GO:0097438_exit from dormancy,0.0422,1
GO:0050691_regulation of defense response to virus by host,0.0422,1
GO:0044419_biological process involved in interspecies interaction between organisms,0.0439,1
GO:0070301_cellular response to hydrogen peroxide,0.0457,1
GO:0043290_apocarotenoid catabolic process,0.0473,1
GO:0015721_bile acid and bile salt transport,0.0473,1
GO:0016107_sesquiterpenoid catabolic process,0.0473,1
GO:0120256_olefinic compound catabolic process,0.0473,1
GO:1902932_positive regulation of alcohol biosynthetic process,0.0473,1
GO:0015692_lead ion transport,0.0473,1
GO:0046345_abscisic acid catabolic process,0.0473,1
GO:0009800_cinnamic acid biosynthetic process,0.0473,1
GO:0032025_response to cobalt ion,0.0473,1
GO:0010927_cellular component assembly involved in morphogenesis,0.0473,1
GO:0042886_amide transport,0.0474,1
GO:0009991_response to extracellular stimulus,0.0475,1
GO:0010106_cellular response to iron ion starvation,0.0503,1
GO:0009738_abscisic acid-activated signaling pathway,0.0508,1
GO:0120254_olefinic compound metabolic process,0.0514,1
GO:0031668_cellular response to extracellular stimulus,0.0546,1
GO:0071496_cellular response to external stimulus,0.0571,1
GO:0015912_short-chain fatty acid transport,0.0575,1
GO:0072330_monocarboxylic acid biosynthetic process,0.0611,1
GO:0015812_gamma-aminobutyric acid transport,0.0626,1
GO:0006972_hyperosmotic response,0.0666,1
GO:0015850_organic hydroxy compound transport,0.0675,1
GO:0033591_response to L-ascorbic acid,0.0676,1
GO:0009298_GDP-mannose biosynthetic process,0.0676,1
GO:0034059_response to anoxia,0.0676,1
GO:0042221_response to chemical,0.073,1
GO:0031408_oxylipin biosynthetic process,0.0736,1
GO:0034406_cell wall beta-glucan metabolic process,0.0736,1
GO:0052541_plant-type cell wall cellulose metabolic process,0.0736,1
GO:0031348_negative regulation of defense response,0.0736,1
GO:0034614_cellular response to reactive oxygen species,0.0752,1
GO:0006559_L-phenylalanine catabolic process,0.0776,1
GO:0046864_isoprenoid transport,0.0776,1
GO:0046865_terpenoid transport,0.0776,1
GO:0080168_abscisic acid transport,0.0776,1
GO:0015824_proline transport,0.084,1
GO:0009682_induced systemic resistance,0.0845,1
GO:0009718_anthocyanin-containing compound biosynthetic process,0.0871,1
GO:0043069_negative regulation of programmed cell death,0.0878,1
GO:0009593_detection of chemical stimulus,0.0894,1
GO:0006879_cellular iron ion homeostasis,0.0961,1
GO:0009414_response to water deprivation,0.0966,1
GO:0016115_terpenoid catabolic process,0.0973,1
GO:0005513_detection of calcium ion,0.0973,1
GO:0080167_response to karrikin,0.1,1
GO:0008300_isoprenoid catabolic process,0.102,1
GO:0060548_negative regulation of cell death,0.103,1
GO:0009415_response to water,0.111,1
GO:0015706_nitrate transport,0.111,1
GO:0110126_phloem loading,0.112,1
GO:0055062_phosphate ion homeostasis,0.112,1
GO:0072506_trivalent inorganic anion homeostasis,0.112,1
GO:0019748_secondary metabolic process,0.113,1
GO:0006826_iron ion transport,0.113,1
GO:0009642_response to light intensity,0.123,1
GO:0006714_sesquiterpenoid metabolic process,0.124,1
GO:0033273_response to vitamin,0.126,1
GO:0001101_response to acid chemical,0.129,1
GO:0031540_regulation of anthocyanin biosynthetic process,0.131,1
GO:0010167_response to nitrate,0.132,1
GO:0010119_regulation of stomatal movement,0.134,1
GO:0010115_regulation of abscisic acid biosynthetic process,0.145,1
GO:0055072_iron ion homeostasis,0.146,1
GO:0034599_cellular response to oxidative stress,0.147,1
GO:0009809_lignin biosynthetic process,0.147,1
GO:0017085_response to insecticide,0.149,1
GO:0009962_regulation of flavonoid biosynthetic process,0.15,1
GO:0009683_indoleacetic acid metabolic process,0.15,1
GO:0009581_detection of external stimulus,0.15,1
GO:0055076_transition metal ion homeostasis,0.153,1
GO:0042360_vitamin E metabolic process,0.154,1
GO:0009647_skotomorphogenesis,0.154,1
GO:0010189_vitamin E biosynthetic process,0.154,1
GO:0006026_aminoglycan catabolic process,0.158,1
GO:0006030_chitin metabolic process,0.158,1
GO:0006032_chitin catabolic process,0.158,1
GO:0006535_cysteine biosynthetic process from serine,0.163,1
GO:0010268_brassinosteroid homeostasis,0.163,1
GO:1902221_erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,0.167,1
GO:1901072_glucosamine-containing compound catabolic process,0.167,1
GO:0006558_L-phenylalanine metabolic process,0.167,1
GO:0046348_amino sugar catabolic process,0.167,1
GO:0009692_ethylene metabolic process,0.168,1
GO:0009693_ethylene biosynthetic process,0.168,1
GO:1900673_olefin metabolic process,0.168,1
GO:1900674_olefin biosynthetic process,0.168,1
GO:0043450_alkene biosynthetic process,0.168,1
GO:0043449_cellular alkene metabolic process,0.168,1
GO:0009624_response to nematode,0.172,1
GO:1901701_cellular response to oxygen-containing compound,0.176,1
GO:1902930_regulation of alcohol biosynthetic process,0.176,1
GO:0009970_cellular response to sulfate starvation,0.181,1
GO:0006171_cAMP biosynthetic process,0.181,1
GO:0043173_nucleotide salvage,0.181,1
GO:0042908_xenobiotic transport,0.181,1
GO:0006855_xenobiotic transmembrane transport,0.181,1
GO:0019853_L-ascorbic acid biosynthetic process,0.185,1
GO:0009407_toxin catabolic process,0.187,1
GO:0046686_response to cadmium ion,0.19,1
GO:0045488_pectin metabolic process,0.192,1
GO:0010393_galacturonan metabolic process,0.194,1
GO:0019852_L-ascorbic acid metabolic process,0.194,1
GO:0071554_cell wall organization or biogenesis,0.194,1
GO:0006575_cellular modified amino acid metabolic process,0.198,1
GO:0090332_stomatal closure,0.198,1
GO:0071456_cellular response to hypoxia,0.202,1
GO:0055081_anion homeostasis,0.202,1
GO:0006144_purine nucleobase metabolic process,0.202,1
GO:0046058_cAMP metabolic process,0.207,1
GO:0051339_regulation of lyase activity,0.207,1
GO:0015807_L-amino acid transport,0.211,1
GO:0048448_stamen morphogenesis,0.211,1
GO:0098661_inorganic anion transmembrane transport,0.222,1
GO:0046916_cellular transition metal ion homeostasis,0.225,1
GO:0120251_hydrocarbon biosynthetic process,0.226,1
GO:0009404_toxin metabolic process,0.228,1
GO:0042362_fat-soluble vitamin biosynthetic process,0.232,1
GO:0062197_cellular response to chemical stress,0.237,1
GO:0019216_regulation of lipid metabolic process,0.238,1
GO:1901616_organic hydroxy compound catabolic process,0.238,1
GO:0070417_cellular response to cold,0.24,1
GO:0052542_defense response by callose deposition,0.254,1
GO:0006066_alcohol metabolic process,0.258,1
GO:1901336_lactone biosynthetic process,0.26,1
GO:0016036_cellular response to phosphate starvation,0.263,1
GO:0009190_cyclic nucleotide biosynthetic process,0.268,1
GO:1901334_lactone metabolic process,0.268,1
GO:0009744_response to sucrose,0.269,1
GO:0006775_fat-soluble vitamin metabolic process,0.272,1
GO:0006563_L-serine metabolic process,0.272,1
GO:0046688_response to copper ion,0.28,1
GO:1901419_regulation of response to alcohol,0.286,1
GO:0009787_regulation of abscisic acid-activated signaling pathway,0.286,1
GO:1905957_regulation of cellular response to alcohol,0.286,1
GO:0009168_purine ribonucleoside monophosphate biosynthetic process,0.288,1
GO:0009127_purine nucleoside monophosphate biosynthetic process,0.288,1
GO:0015849_organic acid transport,0.289,1
GO:0010099_regulation of photomorphogenesis,0.292,1
GO:0006022_aminoglycan metabolic process,0.292,1
GO:0009850_auxin metabolic process,0.296,1
GO:0009411_response to UV,0.306,1
GO:0000272_polysaccharide catabolic process,0.306,1
GO:0006468_protein phosphorylation,0.312,1
GO:0009072_aromatic amino acid family metabolic process,0.312,1
GO:1903825_organic acid transmembrane transport,0.313,1
GO:0010951_negative regulation of endopeptidase activity,0.318,1
GO:0010466_negative regulation of peptidase activity,0.318,1
GO:0006814_sodium ion transport,0.318,1
GO:0016998_cell wall macromolecule catabolic process,0.318,1
GO:1901606_alpha-amino acid catabolic process,0.318,1
GO:0009110_vitamin biosynthetic process,0.319,1
GO:0044106_cellular amine metabolic process,0.323,1
GO:0044550_secondary metabolite biosynthetic process,0.323,1
GO:0009694_jasmonic acid metabolic process,0.328,1
GO:0006783_heme biosynthetic process,0.329,1
GO:0045490_pectin catabolic process,0.332,1
GO:0006875_cellular metal ion homeostasis,0.336,1
GO:0009627_systemic acquired resistance,0.345,1
GO:0010118_stomatal movement,0.346,1
GO:0097305_response to alcohol,0.351,1
GO:0031537_regulation of anthocyanin metabolic process,0.354,1
GO:0002237_response to molecule of bacterial origin,0.354,1
GO:0009684_indoleacetic acid biosynthetic process,0.356,1
GO:0098656_anion transmembrane transport,0.361,1
GO:0045861_negative regulation of proteolysis,0.361,1
GO:0000041_transition metal ion transport,0.374,1
GO:0009106_lipoate metabolic process,0.374,1
GO:0042168_heme metabolic process,0.374,1
GO:0051346_negative regulation of hydrolase activity,0.378,1
GO:0009063_cellular amino acid catabolic process,0.378,1
GO:0000959_mitochondrial RNA metabolic process,0.384,1
GO:0009788_negative regulation of abscisic acid-activated signaling pathway,0.384,1
GO:2000030_regulation of response to red or far red light,0.388,1
GO:0046165_alcohol biosynthetic process,0.388,1
GO:0009733_response to auxin,0.391,1
GO:0016106_sesquiterpenoid biosynthetic process,0.398,1
GO:0009789_positive regulation of abscisic acid-activated signaling pathway,0.398,1
GO:0052548_regulation of endopeptidase activity,0.398,1
GO:0010260_animal organ senescence,0.402,1
GO:0009932_cell tip growth,0.403,1
GO:0009851_auxin biosynthetic process,0.41,1
GO:0009863_salicylic acid mediated signaling pathway,0.414,1
GO:0009737_response to abscisic acid,0.415,1
GO:0034284_response to monosaccharide,0.417,1
GO:0015837_amine transport,0.42,1
GO:0061025_membrane fusion,0.421,1
GO:0052547_regulation of peptidase activity,0.423,1
GO:0005977_glycogen metabolic process,0.429,1
GO:0071446_cellular response to salicylic acid stimulus,0.43,1
GO:0006598_polyamine catabolic process,0.432,1
"GO:0019288_isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",0.433,1
GO:0051554_flavonol metabolic process,0.435,1
GO:0051555_flavonol biosynthetic process,0.435,1
GO:0042542_response to hydrogen peroxide,0.442,1
GO:0051552_flavone metabolic process,0.444,1
GO:0051553_flavone biosynthetic process,0.444,1
GO:0006546_glycine catabolic process,0.447,1
GO:0042402_cellular biogenic amine catabolic process,0.45,1
GO:0042435_indole-containing compound biosynthetic process,0.452,1
GO:0006995_cellular response to nitrogen starvation,0.459,1
GO:0080129_proteasome core complex assembly,0.461,1
GO:0010413_glucuronoxylan metabolic process,0.461,1
GO:0034754_cellular hormone metabolic process,0.462,1
GO:0043086_negative regulation of catalytic activity,0.463,1
GO:0045492_xylan biosynthetic process,0.469,1
GO:0046942_carboxylic acid transport,0.471,1
GO:0009071_serine family amino acid catabolic process,0.471,1
GO:0035435_phosphate ion transmembrane transport,0.474,1
GO:0010193_response to ozone,0.479,1
GO:0034219_carbohydrate transmembrane transport,0.482,1
GO:0045491_xylan metabolic process,0.483,1
GO:0009310_amine catabolic process,0.483,1
GO:0034404_nucleobase-containing small molecule biosynthetic process,0.488,1
GO:0006766_vitamin metabolic process,0.489,1
GO:0070887_cellular response to chemical stimulus,0.492,1
GO:0005975_carbohydrate metabolic process,0.495,1
GO:0006544_glycine metabolic process,0.501,1
GO:0050896_response to stimulus,0.506,1
GO:0010359_regulation of anion channel activity,0.509,1
GO:0043455_regulation of secondary metabolic process,0.516,1
GO:0009555_pollen development,0.517,1
GO:0032412_regulation of ion transmembrane transporter activity,0.517,1
GO:0022898_regulation of transmembrane transporter activity,0.517,1
GO:1901617_organic hydroxy compound biosynthetic process,0.522,1
GO:0032409_regulation of transporter activity,0.522,1
GO:0009152_purine ribonucleotide biosynthetic process,0.532,1
GO:0043562_cellular response to nitrogen levels,0.538,1
GO:0009308_amine metabolic process,0.542,1
GO:0016144_S-glycoside biosynthetic process,0.545,1
GO:0019761_glucosinolate biosynthetic process,0.545,1
GO:0019758_glycosinolate biosynthetic process,0.545,1
GO:0044092_negative regulation of molecular function,0.546,1
GO:0009410_response to xenobiotic stimulus,0.551,1
GO:0006865_amino acid transport,0.554,1
GO:0009741_response to brassinosteroid,0.558,1
GO:0009750_response to fructose,0.561,1
GO:0000302_response to reactive oxygen species,0.565,1
GO:0030048_actin filament-based movement,0.567,1
GO:0006486_protein glycosylation,0.569,1
GO:0046164_alcohol catabolic process,0.571,1
GO:0043413_macromolecule glycosylation,0.576,1
GO:0006636_unsaturated fatty acid biosynthetic process,0.576,1
GO:0015711_organic anion transport,0.577,1
GO:0006970_response to osmotic stress,0.577,1
GO:0003333_amino acid transmembrane transport,0.578,1
GO:0016138_glycoside biosynthetic process,0.579,1
GO:0006629_lipid metabolic process,0.584,1
GO:0009101_glycoprotein biosynthetic process,0.589,1
GO:0007169_transmembrane receptor protein tyrosine kinase signaling pathway,0.592,1
GO:0016126_sterol biosynthetic process,0.593,1
GO:0046218_indolalkylamine catabolic process,0.609,1
GO:0006569_tryptophan catabolic process,0.609,1
GO:0016042_lipid catabolic process,0.611,1
GO:0006164_purine nucleotide biosynthetic process,0.628,1
GO:0030003_cellular cation homeostasis,0.628,1
GO:0050826_response to freezing,0.638,1
GO:0048438_floral whorl development,0.647,1
GO:0019760_glucosinolate metabolic process,0.656,1
GO:0009746_response to hexose,0.666,1
GO:0009409_response to cold,0.677,1
GO:1905039_carboxylic acid transmembrane transport,0.678,1
GO:1901659_glycosyl compound biosynthetic process,0.68,1
GO:0031347_regulation of defense response,0.694,1
GO:0006568_tryptophan metabolic process,0.702,1
GO:0006586_indolalkylamine metabolic process,0.702,1
GO:0006508_proteolysis,0.706,1
GO:0034220_ion transmembrane transport,0.722,1
GO:0016137_glycoside metabolic process,0.726,1
GO:0042446_hormone biosynthetic process,0.727,1
GO:0019344_cysteine biosynthetic process,0.731,1
GO:0005982_starch metabolic process,0.736,1
GO:0006576_cellular biogenic amine metabolic process,0.736,1
GO:0046777_protein autophosphorylation,0.739,1
GO:0010150_leaf senescence,0.741,1
GO:0090693_plant organ senescence,0.742,1
GO:0043090_amino acid import,0.757,1
GO:0009725_response to hormone,0.759,1
GO:0016556_mRNA modification,0.764,1
GO:0043269_regulation of ion transport,0.773,1
GO:0016226_iron-sulfur cluster assembly,0.782,1
GO:0031163_metallo-sulfur cluster assembly,0.782,1
GO:0006757_ATP generation from ADP,0.783,1
GO:0006096_glycolytic process,0.783,1
GO:0046031_ADP metabolic process,0.784,1
GO:0016052_carbohydrate catabolic process,0.79,1
GO:0009832_plant-type cell wall biogenesis,0.79,1
GO:0009179_purine ribonucleoside diphosphate metabolic process,0.792,1
GO:0009135_purine nucleoside diphosphate metabolic process,0.792,1
GO:0009185_ribonucleoside diphosphate metabolic process,0.793,1
GO:0006165_nucleoside diphosphate phosphorylation,0.793,1
GO:0045087_innate immune response,0.794,1
GO:0000023_maltose metabolic process,0.795,1
GO:0007167_enzyme linked receptor protein signaling pathway,0.796,1
GO:0016132_brassinosteroid biosynthetic process,0.8,1
GO:0015979_photosynthesis,0.801,1
GO:0120178_steroid hormone biosynthetic process,0.804,1
GO:0009132_nucleoside diphosphate metabolic process,0.807,1
GO:0043481_anthocyanin accumulation in tissues in response to UV light,0.812,1
GO:0016129_phytosteroid biosynthetic process,0.817,1
GO:0006812_cation transport,0.821,1
GO:0016131_brassinosteroid metabolic process,0.825,1
GO:0046939_nucleotide phosphorylation,0.827,1
GO:0104004_cellular response to environmental stimulus,0.842,1
GO:0071214_cellular response to abiotic stimulus,0.842,1
GO:0009913_epidermal cell differentiation,0.844,1
GO:0048569_post-embryonic animal organ development,0.85,1
GO:0030855_epithelial cell differentiation,0.851,1
GO:0048229_gametophyte development,0.859,1
GO:1903508_positive regulation of nucleic acid-templated transcription,0.866,1
"GO:0045893_positive regulation of transcription, DNA-templated",0.866,1
GO:1902680_positive regulation of RNA biosynthetic process,0.866,1
GO:0008544_epidermis development,0.868,1
GO:0055085_transmembrane transport,0.877,1
GO:0005996_monosaccharide metabolic process,0.879,1
GO:0048646_anatomical structure formation involved in morphogenesis,0.882,1
GO:0009165_nucleotide biosynthetic process,0.884,1
GO:0009266_response to temperature stimulus,0.884,1
GO:1901293_nucleoside phosphate biosynthetic process,0.89,1
GO:0043094_cellular metabolic compound salvage,0.894,1
GO:0007165_signal transduction,0.895,1
GO:0034976_response to endoplasmic reticulum stress,0.905,1
GO:0060429_epithelium development,0.905,1
GO:0007166_cell surface receptor signaling pathway,0.908,1
GO:0051603_proteolysis involved in cellular protein catabolic process,0.913,1
GO:1901137_carbohydrate derivative biosynthetic process,0.919,1
GO:0030163_protein catabolic process,0.922,1
GO:0044282_small molecule catabolic process,0.924,1
GO:0046034_ATP metabolic process,0.925,1
GO:0007030_Golgi organization,0.926,1
GO:0033993_response to lipid,0.934,1
GO:0044257_cellular protein catabolic process,0.935,1
GO:1901565_organonitrogen compound catabolic process,0.947,1
GO:0009150_purine ribonucleotide metabolic process,0.948,1
GO:0055086_nucleobase-containing small molecule metabolic process,0.96,1
GO:0009164_nucleoside catabolic process,0.964,1
GO:0034656_nucleobase-containing small molecule catabolic process,0.965,1
GO:1901658_glycosyl compound catabolic process,0.968,1
GO:0009205_purine ribonucleoside triphosphate metabolic process,0.969,1
GO:0009144_purine nucleoside triphosphate metabolic process,0.97,1
GO:0009119_ribonucleoside metabolic process,0.97,1
GO:0014070_response to organic cyclic compound,0.97,1
GO:0009199_ribonucleoside triphosphate metabolic process,0.972,1
GO:0009141_nucleoside triphosphate metabolic process,0.975,1
GO:0009886_post-embryonic animal morphogenesis,0.977,1
GO:1901657_glycosyl compound metabolic process,0.985,1
GO:0044248_cellular catabolic process,0.986,1
GO:0006518_peptide metabolic process,0.986,1
GO:0009116_nucleoside metabolic process,0.988,1
GO:0007389_pattern specification process,0.997,1
GO:0006412_translation,0.999,1
GO:0043043_peptide biosynthetic process,0.999,1
GO:0043604_amide biosynthetic process,0.999,1
GO:0070542_response to fatty acid,1,1
GO:0072657_protein localization to membrane,1,1
GO:0042743_hydrogen peroxide metabolic process,1,1
GO:0090150_establishment of protein localization to membrane,1,1
GO:2000377_regulation of reactive oxygen species metabolic process,1,1
GO:0009626_plant-type hypersensitive response,1,1
GO:0071369_cellular response to ethylene stimulus,1,1
GO:0050776_regulation of immune response,1,1
GO:0052314_phytoalexin metabolic process,1,1
GO:0052315_phytoalexin biosynthetic process,1,1
GO:0051668_localization within membrane,1,1
GO:0002682_regulation of immune system process,1,1
GO:0046287_isoflavonoid metabolic process,1,1
GO:0000160_phosphorelay signal transduction system,1,1
GO:0018958_phenol-containing compound metabolic process,1,1
GO:0009717_isoflavonoid biosynthetic process,1,1
GO:0034050_programmed cell death induced by symbiont,1,1
GO:1900376_regulation of secondary metabolite biosynthetic process,1,1
GO:0009812_flavonoid metabolic process,1,1
GO:0045088_regulation of innate immune response,1,1
GO:0072593_reactive oxygen species metabolic process,1,1
GO:0051702_biological process involved in interaction with symbiont,1,1
GO:0008219_cell death,1,1
GO:0002831_regulation of response to biotic stimulus,1,1
GO:0009403_toxin biosynthetic process,1,1
GO:0032101_regulation of response to external stimulus,1,1
GO:0000038_very long-chain fatty acid metabolic process,1,1
GO:0000103_sulfate assimilation,1,1
GO:0000154_rRNA modification,1,1
GO:0000256_allantoin catabolic process,1,1
GO:0000270_peptidoglycan metabolic process,1,1
GO:0000289_nuclear-transcribed mRNA poly(A) tail shortening,1,1
GO:0000304_response to singlet oxygen,1,1
GO:0000305_response to oxygen radical,1,1
GO:0000413_protein peptidyl-prolyl isomerization,1,1
GO:0000447_endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU...,1,1
"GO:0000462_maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,1
"GO:0000463_maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,1
GO:0000470_maturation of LSU-rRNA,1,1
"GO:0000472_endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,1
"GO:0000480_endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,1
GO:0000494_box C/D RNA 3'-end processing,1,1
GO:0000746_conjugation,1,1
GO:0000747_conjugation with cellular fusion,1,1
GO:0001503_ossification,1,1
GO:0001516_prostaglandin biosynthetic process,1,1
GO:0001542_ovulation from ovarian follicle,1,1
GO:0001561_fatty acid alpha-oxidation,1,1
GO:0001649_osteoblast differentiation,1,1
GO:0001706_endoderm formation,1,1
GO:0001707_mesoderm formation,1,1
GO:0001738_morphogenesis of a polarized epithelium,1,1
GO:0001909_leukocyte mediated cytotoxicity,1,1
GO:0002119_nematode larval development,1,1
GO:0002213_defense response to insect,1,1
GO:0002218_activation of innate immune response,1,1
GO:0002229_defense response to oomycetes,1,1
GO:0002230_positive regulation of defense response to virus by host,1,1
GO:0002238_response to molecule of fungal origin,1,1
GO:0002239_response to oomycetes,1,1
GO:0002253_activation of immune response,1,1
GO:0002526_acute inflammatory response,1,1
GO:0002683_negative regulation of immune system process,1,1
GO:0002684_positive regulation of immune system process,1,1
GO:0002763_positive regulation of myeloid leukocyte differentiation,1,1
GO:0002832_negative regulation of response to biotic stimulus,1,1
GO:0002833_positive regulation of response to biotic stimulus,1,1
GO:0003016_respiratory system process,1,1
GO:0003032_detection of oxygen,1,1
GO:0003341_cilium movement,1,1
GO:0005980_glycogen catabolic process,1,1
GO:0005983_starch catabolic process,1,1
GO:0005986_sucrose biosynthetic process,1,1
GO:0005992_trehalose biosynthetic process,1,1
GO:0006021_inositol biosynthetic process,1,1
